Catalogue Number,New Title,Original Title ,Programme Origin,Length,Composer(s),Track Instrumentation / Style,Track Mood,Publisher,
RC0137,The Theme,10-18-16-00 CUCKOO2 EP3 M11 Cuckoo Theme 1007,Cuckoo Series 2,00:30,Oli Julian,"World, Percussion, Acoustic Bass, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0138,The Theme (Very Short),10-00-00-00 CUCKOO2 EP4 M1 Cuckoo Theme 1007,Cuckoo Series 2,00:11,Oli Julian,"World, Percussion, Acoustic Bass, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0139,The Theme (Electric Guitar),10-00-54-00 CUCKOO2 EP6 M2 Cuckoo Theme 1607,Cuckoo Series 2,00:26,Oli Julian,"World, Percussion, Acoustic Bass, Acoustic Guitar, Electric Guitar","Happy, Pensive",Bdi Music,
RC0140,The Theme (Less Guitar),10-20-50-00 CUCKOO2 EP1 M13 CuckooTheme 1306 ,Cuckoo Series 2,00:56,Oli Julian,"World, Percussion, Acoustic Bass, Acoustic Guitar, Piano","Happy, Relaxed, Light",Bdi Music,
RC0141,Lost,10-00-00-00 CUCKOO2 EP1 M1 LostInNepal 1306 ,Cuckoo Series 2,02:10,Oli Julian,"Orchestral Percussion, Orchestral, Horns, ","Intense, Eerie, Pensive",Bdi Music,
RC0142,Roof,10-24-16-00 CUCKOO2 EP1 M15 OnTheRoof 1306 ,Cuckoo Series 2,02:18,Oli Julian,"Acoustic Guitar, Percussion, World","Happy, Relaxed, Light",Bdi Music,
RC0143,Return,10-03-58-00 CUCKOO2 EP2 M4 ComingHome ALT 1306,Cuckoo Series 2,01:24,Oli Julian,"World, Percussion, Acoustic Guitar","Relaxed, Light, Happy",Bdi Music,
RC0144,Trance,10-01-22-00 CUCKOO2 EP3 M3 Kebab Trance 1007,Cuckoo Series 2,00:32,Oli Julian,"World, Percussion, Electric Guitar","Relaxed, Eerie",Bdi Music,
RC0145,Tangle,10-09-48-00 CUCKOO2 EP3 M9 Tangled Web 1007,Cuckoo Series 2,00:50,Oli Julian,"Synth, Ambient","Moody, Eerie, Instense",Bdi Music,
RC0146,Hands,10-22-42-00 CUCKOO2 EP3 M15 Chicken Hands 1007,Cuckoo Series 2,00:56,Oli Julian,"World, Percussion, Electric Guitar","Eeire, Light",Bdi Music,
RC0147,Joint,10-08-00-00 CUCKOO2 EP4 M5 Joint 1007,Cuckoo Series 2,00:14,Oli Julian,"World, Piano, Acoustic Bass, Percussion","Relaxed, Light",Bdi Music,
RC0148,Outing,10-08-26-00 CUCKOO2 EP5 M7 Sex 1007,Cuckoo Series 2,01:34,Oli Julian,"World, Percussion, Acoustic Guitar, Electric Guitar","Happy, Excited, Relaxed",Bdi Music,
RC0149,Joint V2,10-04-48-00 CUCKOO2 EP6 M4 Joint 1607,Cuckoo Series 2,00:14,Oli Julian,"World, Piano, Acoustic Bass, Percussion","Relaxed, Light",Bdi Music,
RC0150,Karate,10-10-20-00 CUCKOO2 EP6 M8 Karate League 1607,Cuckoo Series 2,00:12,Oli Julian,"World, Percussion","Relaxed, Eerie",Bdi Music,
RC0151,Karate V2,10-11-48-00 CUCKOO2 EP6 M9 Karate League 1607,Cuckoo Series 2,01:24,Oli Julian,"World, Percussion, Acoustic Bass, Acoustic Guitar","Eerie, Intense",Bdi Music,
RC0152,Karate V3,10-14-02-00 CUCKOO2 EP6 M10 Karate League 1607,Cuckoo Series 2,00:20,Oli Julian,"World, Percussion, Acoustic Bass","Eerie, Relaxed",Bdi Music,
RC0153,Murray,10-16-22-00 CUCKOO2 EP6 M12 Jamie Murray 1607,Cuckoo Series 2,00:44,Oli Julian,Acoustic Guitar,"Relaxed, Light, Eerie",Bdi Music,
RC0154,Chasing,10-19-20-00 CUCKOO2 EP6 M13 Chase INTERNATIONAL VSN ONLY 1607,Cuckoo Series 2,02:30,Oli Julian,"Electric Guitar, Drums, Strings","Intense, Excited, Distorted",Bdi Music,
RC0155,Chasing V2,10-21-12-00 CUCKOO2 EP6 M14 Chase End 1607,Cuckoo Series 2,00:28,Oli Julian,"Acoustic Guitar, Strings","Eerie, Pensive",Bdi Music,
RC0156,Justice,10-22-00-00 CUCKOO2 EP6 M15 Justice 1607,Cuckoo Series 2,00:36,Oli Julian,"Percussion, Strings","Eerie, Pensive, Intense",Bdi Music,
RC0157,Justice V2,10-22-00-00 CUCKOO2 EP6 M15 Justice ALT VSN 1607,Cuckoo Series 2,00:34,Oli Julian,"Percussion, Strings","Eerie, Pensive, Intense",Bdi Music,
RC0158,Terror,10-23-20-00 CUCKOO2 EP6 M16 Terryfied 1607,Cuckoo Series 2,00:24,Oli Julian,"Percussion, Strings","Eerie, Intense",Bdi Music,
RC0159,Kitchen,10-23-34-00 CUCKOO2 EP6 M17 In The Kitchen 1607,Cuckoo Series 2,01:14,Oli Julian,"Acoustic Guitar, Piano","Eerie, Light",Bdi Music,
RC0160,Gabriel,10-03-02-00 CUCKOO2 EP7SHORTVSN M2 Gabriel 0108,Cuckoo Series 2,00:18,Oli Julian,"Strings, Orchestral Percussion","Light, Relaxed, Eerie",Bdi Music,
RC0161,Murray V2,10-12-00-00 CUCKOO2 EP7SHORTVSN M10 JamieMurray 0108,Cuckoo Series 2,01:08,Oli Julian,Acoustic Guitar,"Relaxed, Light, Eerie",Bdi Music,
RC0162,Home Coming,10-16-40-00 CUCKOO2 EP7SHORTVSN M12 ComingHomeNoXmas 0108,Cuckoo Series 2,00:23,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0163,Home Coming V2,10-16-40-00 CUCKOO2 EP7SHORTVSN M12 ComingHomeWithXmas 0108,Cuckoo Series 2,00:23,Oli Julian,"World, Percussion, Acoustic Guitar","Happy, Relaxed, Light",Bdi Music,
RC0164,Station,10-17-48-00 CUCKOO2 EP7SHORTVSN M14 AtTheStation 0108,Cuckoo Series 2,01:14,Oli Julian,"World, Percussion, Electric Guitar, Acoustic Guitar","Intense, Happy, ",Bdi Music,
RC0165,Station V2,10-22-00-00 CUCKOO2 EP7SHORTVSN M17 AtTheStation 0108,Cuckoo Series 2,00:16,Oli Julian,"World, Percussion, Electric Guitar, Acoustic Guitar","Relaxed, Light, Happy, ",Bdi Music,
RC0166,Play,10-22-48-00 CUCKOO2 EP7SHORTVSN M17 AtThePlay 0108,Cuckoo Series 2,02:56,Oli Julian,"Strings, Acoustic Guitar, Acoustic Bass","Light, Relaxed, Eerie",Bdi Music,
RC0167,Hark,10-25-36-00 CUCKOO2 EP7SHORTVSN M18 HarkTheHerald BAND Only 0108,Cuckoo Series 2,02:08,Oli Julian,"Electric Guitar, Percussion, Acoustic Guitar","Relaxed, Happy",Bdi Music,
RC0168,Hark V2,10-25-36-00 CUCKOO2 EP7SHORTVSN M18 HarkTheHerald CHOIR Only 0108,Cuckoo Series 2,02:08,Oli Julian,"Vocals, Choir","Happy, Relaxed",Bdi Music,
RC0169,Hark V3,10-25-36-00 CUCKOO2 EP7SHORTVSN M18 HarkTheHerald TYGER Only 0108,Cuckoo Series 2,02:08,Oli Julian,"Vocals, Solo","Happy, Relaxed",Bdi Music,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
